Fan Power ,Compressor Power ,Battery Current ,Battery Voltage ,Battery Backup Time,IT_Load, Phase Output Load Percentage,UPS Efficiency ,Accessory Load ,UPS_loose,Outdoor Temperature,Outdoor Relative humidity ,Relative Humidity  Setpoint ,Upper_RH recomm,Lower_RH recomm,IT Room humidity ,Upper_Temp recomm,Lower_Temp recomm,Temperature  Set point ,IT Room temperature ,Battery Temperature,Total_IN,PUE
728.76,2572.12,0.15,427.01,838.43,4808.7,45.35,83.82,1169.06,928.25,20.75,39.94,45,55.00,40.00,54.90,27.00,18.00,20,22.85,23.50,5736.95,12
743.70,2509.76,0.15,426.98,838.05,4807.8,45.35,83.64,1163.78,940.21,21.38,38.50,45,55.00,40.00,54.20,27.00,18.00,20,22.93,23.54,5748.01,11
746.61,2546.05,0.15,426.95,837.96,4809,45.36,83.77,1165.92,931.88,21.44,37.72,45,55.00,40.00,40.05,27.00,18.00,20,25.37,23.54,5740.88,12
751.32,2575.72,0.15,426.98,837.74,4807,45.33,83.58,1163.85,944.43,21.44,39.10,45,55.00,40.00,41.53,27.00,18.00,20,25.41,23.50,5751.43,13
750.02,2538.57,0.15,427.04,837.94,4810.1,45.40,83.51,1162.69,950.14,20.93,40.26,45,55.00,40.00,45.78,27.00,18.00,20,23.50,23.50,5760.24,12
721.02,2581.71,0.15,427.04,837.77,4886,46.03,83.72,1165.79,949.94,20.63,39.87,45,55.00,40.00,41.90,27.00,18.00,20,23.62,23.54,5835.94,11
727.09,2628.77,0.15,427.01,838.63,4802.4,45.30,83.77,1169.85,930.78,17.25,70.86,45,55.00,40.00,38.62,27.00,18.00,20,21.98,23.50,5733.18,14
730.16,2582.87,0.15,427.01,838.43,4806,45.31,83.82,1169.06,927.65,17.25,68.55,45,55.00,40.00,39.03,27.00,18.00,20,22.48,23.50,5733.65,13
749.91,2553.72,0.15,426.98,838.05,4806.3,45.33,83.93,1163.78,920.44,18.10,65.20,45,55.00,40.00,39.69,27.00,18.00,20,23.04,23.54,5726.74,12
755.92,2539.15,0.15,426.95,837.96,4808.3,45.34,83.99,1165.92,916.42,18.10,63.52,45,55.00,40.00,39.98,27.00,18.00,20,22.41,23.54,5724.72,12
725.12,2566.94,0.15,426.98,837.74,4810.4,45.34,84.06,1163.85,912.46,18.10,65.45,45,55.00,40.00,40.29,27.00,18.00,20,22.80,23.50,5722.86,12
747.22,2541.43,0.15,427.04,837.94,4806.9,45.33,83.72,1162.69,934.96,17.69,68.08,45,55.00,40.00,40.52,27.00,18.00,20,23.01,23.50,5741.86,12
732.00,2571.99,0.15,427.04,837.77,4806.9,45.35,83.59,1165.79,943.51,17.64,67.95,45,55.00,40.00,40.71,27.00,18.00,20,22.35,23.54,5750.41,13
714.55,2587.07,0.15,427.00,836.02,4819.1,45.55,83.95,1298.66,921.42,19.57,50.00,45,55.00,40.00,41.71,27.00,18.00,20,22.01,23.50,5740.52,15
732.11,2577.33,0.15,426.95,827.22,4870,45.96,84.13,1290.53,918.91,20.22,47.00,45,55.00,40.00,42.04,27.00,18.00,20,22.07,23.50,5788.91,13
755.67,2574.71,0.15,426.95,819.30,4916.6,46.32,84.03,1280.81,934.37,21.11,42.86,45,55.00,40.00,41.73,27.00,18.00,20,22.27,23.54,5850.97,13
757.28,2595.75,0.15,427.03,826.24,4875.4,45.94,83.90,1277.66,935.53,21.56,40.84,45,55.00,40.00,40.03,27.00,18.00,20,22.13,23.54,5810.93,1
729.85,2573.14,0.15,427.01,836.00,4818.7,45.44,83.71,1277.11,937.41,21.35,41.81,45,55.00,40.00,41.59,27.00,18.00,20,22.03,23.50,5756.11,15
751.32,2558.71,0.15,427.01,837.70,4809.3,45.34,83.67,1277.79,938.62,20.97,44.07,45,55.00,40.00,41.33,27.00,18.00,20,22.04,23.50,5747.92,15
741.97,2556.43,0.15,427.02,837.77,4809.6,45.36,83.99,1277.74,916.57,20.69,44.94,45,55.00,40.00,41.26,27.00,18.00,20,22.03,23.54,5726.17,14
766.11,2510.15,0.15,427.04,823.26,4894.4,46.18,83.77,1278.94,948.18,16.86,68.71,45,55.00,40.00,64.51,27.00,18.00,20,22.25,23.50,5842.58,12
741.03,2579.22,0.15,426.98,834.11,4828.7,45.65,83.89,1277.12,927.60,17.12,67.82,45,55.00,40.00,67.98,27.00,18.00,20,22.22,23.50,5756.30,14
743.87,2552.61,0.15,426.96,834.55,4827.9,45.63,83.66,1276.06,943.04,17.43,66.79,45,55.00,40.00,55.09,27.00,18.00,20,22.20,23.54,5770.94,14
759.66,2573.89,0.15,426.98,834.85,4824.1,45.59,83.86,1198.53,928.71,17.92,64.90,45,55.00,40.00,58.93,27.00,18.00,20,23.01,23.54,5752.81,13
745.73,2562.14,0.15,426.92,833.26,4832.5,45.68,83.81,1225.25,933.23,17.47,67.17,45,55.00,40.00,53.65,27.00,18.00,20,22.48,23.50,5765.73,13
761.90,2542.01,0.15,426.98,832.16,4839.5,45.73,84.09,1196.11,915.79,17.26,68.20,45,55.00,40.00,56.06,27.00,18.00,20,22.43,23.50,5755.29,12
760.55,2558.54,0.15,427.00,835.35,4824,45.58,83.87,1182.23,927.84,17.29,68.37,45,55.00,40.00,56.11,27.00,18.00,20,21.98,23.54,5751.84,13
726.75,2541.02,0.15,427.04,836.13,4817.7,45.55,83.63,1170.85,943.11,16.71,71.13,45,55.00,40.00,61.89,27.00,18.00,20,22.01,23.50,5760.81,12
733.63,2574.33,0.15,427.05,835.33,4823.5,45.58,83.78,1168.06,933.61,16.82,70.02,45,55.00,40.00,65.08,27.00,18.00,20,21.99,23.50,5757.11,12
747.81,2550.98,0.15,426.99,835.49,4821.1,45.58,83.50,1167.78,952.68,17.22,68.64,45,55.00,40.00,61.22,27.00,18.00,20,22.26,23.54,5773.78,12
753.76,2561.07,0.15,426.94,834.13,4828.1,45.65,83.74,1175.42,937.30,17.82,66.35,45,55.00,40.00,65.05,27.00,18.00,20,22.38,23.54,5765.40,12
742.23,2578.06,0.15,426.97,820.67,4906.9,46.32,83.55,1176.77,966.32,18.08,65.64,45,55.00,40.00,60.67,27.00,18.00,20,22.70,23.50,5873.22,11
765.00,2533.56,0.15,427.00,819.73,4916.5,46.36,83.60,1180.16,964.48,18.08,67.47,45,55.00,40.00,60.99,27.00,18.00,20,22.55,23.50,5880.98,11
772.53,2568.91,0.15,427.02,817.61,4925,46.45,83.86,1168.78,947.92,17.72,69.53,45,55.00,40.00,64.01,27.00,18.00,20,22.33,23.54,5872.92,11
755.41,2547.62,0.15,427.01,836.76,4815.3,45.51,84.05,1219.48,914.06,15.33,74.71,45,55.00,40.00,42.30,27.00,18.00,20,27.62,23.50,5729.36,13
729.81,2551.54,0.15,427.03,834.84,4823.9,45.60,83.78,1229.66,933.84,15.72,73.96,45,55.00,40.00,42.02,27.00,18.00,20,25.07,23.50,5757.74,13
742.00,2572.01,0.15,427.05,835.50,4821.1,45.57,83.63,1247.53,943.90,16.18,72.81,45,55.00,40.00,42.10,27.00,18.00,20,24.85,23.54,5765.00,14
765.66,2557.44,0.15,426.97,834.24,4827.9,45.63,83.93,1245.22,924.09,16.71,71.35,45,55.00,40.00,42.15,27.00,18.00,20,27.28,23.54,5751.99,14
748.03,2568.24,0.15,427.02,834.98,4823.9,45.59,83.75,1280.51,935.76,16.71,72.26,45,55.00,40.00,40.50,27.00,18.00,20,24.93,23.50,5759.66,15
772.43,2537.71,0.15,427.01,835.56,4822.2,45.58,83.77,1278.33,934.01,16.23,74.59,45,55.00,40.00,40.30,27.00,18.00,20,23.70,23.50,5756.21,15
